# Produkty v sk-eur so zástupným obrázkom „bez obrázka“ (GIF 100×100, hash c32bc543a46f5bf4)
# Zistené 2026-09-22 čítaním Saleoru (category.products, channel sk-eur); strešné nosiče Nordrive nekontrolované.
# kategória<TAB>slug<TAB>stav (only-placeholder = žiadny iný obrázok; placeholder+N = N ďalších obrázkov)
autodoplnky	dac-univerzalna-siet-do-kufra-90x120cm-12-hakov-d0587-ot110	only-placeholder
autodoplnky	dac-vystrazny-trojuholnik-schvalenie-e13-d1304-ot010	only-placeholder
autodoplnky	nalepovaci-ochranny-panel-na-stenu-1cm-d5491-ot210	only-placeholder
autodoplnky	tekuta-rezerva-nahradna-napln-slime-safety-spair-d10100	only-placeholder
autodoplnky	tekuta-rezerva-nahradna-napln-slime-smart-repair-dsds500-30	only-placeholder
autodoplnky	tekuta-rezerva-nahradna-napln-slime-sport-smart-repair-d10112	only-placeholder
autodoplnky	tekuta-rezerva-slime-safety-spair-automaticka-d50053	only-placeholder
autodoplnky	tekuta-rezerva-slime-sport-smart-repair-pre-motocykle-d50024	only-placeholder
autodoplnky	upinacie-popruhy-2-x-2-5-m-d0461-ot110	only-placeholder
autodoplnky	vana-kufrova-g3-90x100cm-uni-3mm-foam-pe-g329-14	placeholder+1
autodoplnky	vana-kufrova-g3-90x50cm-uni-3mm-foam-pe-g329-11	placeholder+1
autodoplnky	vana-kufrova-g3-90x70cm-uni-3mm-foam-pe-g329-12	placeholder+1
autodoplnky	vana-kufrova-g3-90x85cm-uni-3mm-foam-pe-g329-13	placeholder+1
nosice-bicyklov	drziak-bicykla-coolbikerack-pz-405	only-placeholder
nosice-bicyklov	g3-peruzzo-back-box-zadny-box-na-tazne-zariadenie-pz-2005	placeholder+2
nosice-bicyklov	greenvalley-fast-rider-adapter-nosice-bicykla-pre-stvorhranne-tyce-a160850	only-placeholder
nosice-bicyklov	menabo-garage-lift-stropny-drziak-na-box-bicykel-m0000827	placeholder+1
nosice-bicyklov	menabo-nastenny-drziak-gula-na-nosice-bicyklov-na-tazne-zariadenie-m0000826	only-placeholder
nosice-bicyklov	nabehova-rampa-yakima-clickramp-yak8002492	only-placeholder
nosice-bicyklov	nosic-2-bicyklov-peruzzo-siena-2-pz-668	placeholder+11
nosice-bicyklov	peruzzo-3d-upinacie-rameno-6cm-pre-pure-instinct-pz-693-cp	only-placeholder
